조합 이름,편의점,주요 상품,보조 상품(들),키워드 / 상황,카테고리,원문 URL (출처)
혼술 뱅쇼 세트,GS25,레드 와인 (미니),"오렌지 주스, 시나몬 스틱, 사과","혼술, 겨울밤, 따뜻함, 감기 기운, 분위기 있는 밤, 유럽 감성, 홈파티, 나만의 힐링",술안주/야식,[AI 증강]
매운 크림 파스타,CU,까르보 불닭볶음면 (컵),"모짜렐라 치즈, 우유 (200ml)","매운맛, 느끼함, 스트레스 해소, 야식, 얼큰함, 퓨전 음식, 혼밥, 자취생",라면/분식 조합,[AI 증강]
달콤 살벌 디저트,세븐일레븐,마라탕면 (컵),"초코 아이스크림, 슈팅스타 팝핑캔디","단짠맵, 괴식, 호불호, 스트레스 해소, 묘한 중독성, 실험 정신, 기분 전환, 도전",디저트,[AI 증강]
비 오는 날 부침개,공통,부침가루,"김치, 참치캔, 계란, 식용유","비 오는 날, 집콕, 혼술, 따뜻함, 아늑함, 막걸리, 빗소리, 추억",술안주/야식,[AI 증강]
월급날 스테이크,CU,함박 스테이크 (냉동),"즉석밥, 슬라이스 치즈, 스파게티 소스","월급날, 자축, 혼밥, 든든함, 가성비, 행복, 뿌듯함, 간단 요리",간편식사,[AI 증강]
캠핑 파이어 세트,GS25,마시멜로우,"숯불 닭꼬치, 에너지바, 커피","캠핑, 불멍, 밤, 추억, 친구, 여행, 자연, 여유",간식,[AI 증강]
숙취 해소 끝판왕,세븐일레븐,헛개차,"매운 라면, 아이스크림 (스크류바)","숙취, 해장, 괴로움, 속 쓰림, 시원함, 매운맛, 달콤함, 응급처치",음료/간식,[AI 증강]
고급진 브런치,공통,크루아상,"아메리카노, 딸기잼, 크림치즈","주말, 여유, 브런치, 홈카페, 힐링, 나만의 시간, 분위기, 햇살",간편식사,[AI 증강]
피땀눈물 야근 세트,CU,에너지 드링크,"견과류, 초콜릿, 아메리카노","야근, 피곤, 졸림, 집중력, 당 충전, 버티기, 힘내자, 퇴근 소취",간식,[AI 증강]
시험 D-DAY,GS25,핫식스,"초콜릿바, 젤리, 커피","시험, 불안, 초조, 집중, 긴장, 벼락치기, 밤샘, 합격 기원",간식,[AI 증강]
나만의 영화관,세븐일레븐,팝콘,"나쵸, 콜라, 오징어","혼영, 주말, 집콕, 심야 영화, 편안함, 아늑함, 넷플릭스, 꿀 조합",간식,[AI 증강]
화끈한 불금,공통,닭발 (무뼈),"맥주, 계란찜, 주먹밥","불금, 스트레스 해소, 매운맛, 술안주, 친구, 수다, 흥분, 즐거움",술안주/야식,[AI 증강]
상큼한 봄 소풍,CU,유부초밥,"탄산수, 과일 샐러드, 쿠키","소풍, 봄, 피크닉, 데이트, 상큼함, 설렘, 햇살, 돗자리",간편식사,[AI 증강]
추억의 분식 파티,GS25,떡볶이,"튀김, 순대, 쿨피스","친구, 수다, 옛날 이야기, 학창 시절, 웃음, 즐거움, 추억, 힐링",라면/분식 조합,[AI 증강]
럭셔리 혼밥,세븐일레븐,연어장 덮밥,"미소 된장국, 사케 (미니)","혼밥, 고급, 분위기, 조용한 식사, 나를 위한 선물, 힐링, 만족, 차분함",간편식사,[AI 증강]
스트레스 박살 세트,공통,불닭볶음면,"아이스크림, 탄산음료, 닭꼬치","분노, 짜증, 스트레스, 매운맛, 시원함, 달콤함, 자극, 해소",라면/분식 조합,[AI 증강]
눈 오는 날 어묵,CU,어묵,"떡볶이, 핫초코, 호빵","눈, 겨울, 따뜻함, 행복, 아늑함, 낭만, 추억, 설렘",라면/분식 조합,[AI 증강]
심플 이즈 베스트,GS25,삼각김밥,"컵라면, 물","간단, 빠름, 혼밥, 가성비, 바쁜 날, 시간 절약, 에너지 충전, 든든함",간편식사,[AI 증강]
이열치열 땀빼기,세븐일레븐,육개장 사발면,"이온 음료, 아이스 아메리카노","더위, 땀, 매운맛, 시원함, 갈증 해소, 에너지 충전, 기력 회복, 여름",라면/분식 조합,[AI 증강]
취업 성공 기원,공통,찹쌀떡,"커피, 비타민 음료","취업, 합격, 긴장, 간절함, 행운, 응원, 성공, 긍정",간식,[AI 증강]
인싸력 폭발,CU,뿌링클 팝콘,"콜라, 치즈볼","친구, 파티, 게임, 웃음, 즐거움, 흥미, SNS, 핫 아이템",간식,[AI 증강]
우울 극복 달콤함,GS25,초코 케이크,"바닐라 아이스크림, 따뜻한 우유","우울, 슬픔, 위로, 달콤함, 행복, 힐링, 안정, 기분 전환",디저트,[AI 증강]
개강 기념 짜장범벅,세븐일레븐,짜장 범벅,"단무지, 삶은 계란","개강, 학교, 친구, 짜장면, 간식, 추억, 즐거움, 활기",라면/분식 조합,[AI 증강]
여행 출발 설렘,공통,샌드위치,"커피, 물, 과자","여행, 설렘, 기대, 자유, 모험, 즐거움, 추억, 출발",간편식사,[AI 증강]
고소한 아침,CU,미숫가루,"인절미 스낵, 바나나","아침, 고소함, 건강, 든든함, 간편함, 활기, 시작, 에너지",음료/간식,[AI 증강]
황사 마스크 세트,GS25,마스크,"생수, 목캔디","황사, 미세먼지, 건강, 보호, 깨끗함, 상쾌함, 청결, 예방",생활용품,[AI 증강]
장마철 습기 제거,세븐일레븐,제습제,"섬유탈취제, 방향제","장마, 습기, 꿉꿉함, 불쾌함, 상쾌함, 청결, 쾌적함, 보송보송",생활용품,[AI 증강]
독서의 계절,공통,커피,"견과류, 초콜릿","독서, 가을, 차분함, 집중, 지식, 성장, 여유, 힐링",음료/간식,[AI 증강]
게임 폐인 필수템,CU,에너지 드링크,"눈 보호 안경, 간단한 스낵","게임, 밤샘, 집중, 피로, 흥미, 승리, 경쟁, 몰입",간식,[AI 증강]
솔로 탈출 기원,GS25,향수 (미니),"핸드크림, 립밤","솔로, 외로움, 설렘, 기대, 만남, 인연, 행운, 아름다움",뷰티,[AI 증강]
미세먼지 심한 날,세븐일레븐,생수,"마스크, 비타민C","미세먼지, 건강, 목 아픔, 답답함, 청량함, 보호, 깨끗함, 안심",생활,[AI 증강]
장거리 운전 졸음 방지,공통,졸음 방지 껌,"아메리카노, 에너지 드링크","운전, 졸음, 피로, 안전, 집중, 각성, 정신, 상쾌",음료/간식,[AI 증강]
월요병 극복,CU,달콤한 커피,"초콜릿, 젤리","월요병, 피곤, 우울, 달콤함, 활력, 기분 전환, 힘내자, 긍정",음료/간식,[AI 증강]
화이트데이 고백,GS25,사탕,"초콜릿, 꽃","화이트데이, 고백, 설렘, 두근거림, 사랑, 행복, 성공, 낭만",선물,[AI 증강]
새해 다짐 성공,세븐일레븐,견과류,"닭가슴살, 탄산수","새해, 다짐, 건강, 운동, 목표, 성공, 자기 관리, 의지",건강,[AI 증강]
크리스마스 분위기,공통,케이크,"와인, 캔들","크리스마스, 따뜻함, 행복, 사랑, 축제, 낭만, 가족, 친구",파티,[AI 증강]
수능 대박 기원,CU,엿,"찹쌀떡, 초콜릿","수능, 합격, 긴장, 응원, 행운, 성공, 지혜, 간절함",선물,[AI 증강]
불면증 퇴치,GS25,따뜻한 우유,"캐모마일 티, 수면 안대","불면증, 잠, 편안함, 안정, 힐링, 밤, 휴식, 숙면",건강,[AI 증강]
혼자 보내는 생일,세븐일레븐,미니 케이크,"와인, 초","생일, 축하, 외로움, 행복, 나를 위한 선물, 힐링, 감사, 특별함",파티,[AI 증강]
여름밤 모기 퇴치,공통,모기향,"모기 스프레이, 버물리","여름, 모기, 가려움, 불쾌함, 보호, 안심, 쾌적, 편안",생활,[AI 증강]
가을 감성 충전,CU,고구마 맛탕,"따뜻한 차, 책","가을, 감성, 분위기, 여유, 힐링, 독서, 따뜻함, 풍요",간식,[AI 증강]
입맛 없을 때,GS25,김치 볶음밥,"계란 후라이, 김","입맛 없음, 간단, 매콤함, 든든함, 식욕, 활력, 에너지, 자극",간편식사,[AI 증강]
시험 망삘,세븐일레븐,아이스크림,"초콜릿, 과자","좌절, 절망, 슬픔, 위로, 달콤함, 행복, 힐링, 기분 전환",간식,[AI 증강]
퇴근 후 맥주,공통,맥주,"나쵸, 닭꼬치","퇴근, 자유, 행복, 편안함, 스트레스 해소, 꿀맛, 여유, 휴식",술안주/야식,[AI 증강]
연인과 다툼 후 화해,CU,하트 모양 초콜릿,"꽃, 편지","화해, 용서, 사랑, 미안함, 감동, 행복, 관계 회복, 애정",선물,[AI 증강]
새 차 구매 기념,GS25,방향제,"음료, 간식","새 차, 기쁨, 설렘, 여행, 자유, 안전 운전, 쾌적함, 행복",생활,[AI 증강]
월급날Flex세트,공통,수입맥주 (4캔),"프리미엄 육포, 나쵸/살사","월급날, 스트레스 해소, 퇴근 후, 혼술, 영화 감상, 주말, 나를 위한 선물, 고생했어",술안주/야식,[AI 증강]
비오는 날 로맨스,GS25,오뎅,"막걸리, 김치전","비오는 날, 파전, 막걸리, 빗소리, 낭만, 데이트, 집콕, 촉촉한 날",술안주/야식,[AI 증강]
야근 극복 팩,세븐일레븐,핫식스,"에너지바, 견과류","야근, 졸림, 집중력 향상, 밤샘, 피곤, 회사, 업무, 카페인 충전",간식/에너지,[AI 증강]
캠핑 파이어 세트,공통,마시멜로우,"숯불구이맛 과자, 초콜릿","캠핑, 불멍, 달콤함, 가족, 친구, 여행, 밤, 추억, 바베큐",간식/디저트,[AI 증강]
시험 D-Day 응원,CU,찹쌀떡,"초콜릿, 따뜻한 우유","시험, 합격 기원, 응원, 격려, 긴장, 초조, 선물, 행운, 긍정",간식/에너지,[AI 증강]
혼자 보는 영화관,공통,팝콘,"콜라, 버터 오징어","혼영, 주말, 집콕, 영화 감상, 스낵, 간식, 여유, 힐링, 넷플릭스",간식/디저트,[AI 증강]
눈 오는 날의 낭만,GS25,호빵,"군고구마, 따뜻한 두유","눈, 겨울, 따뜻함, 간식, 낭만, 데이트, 추억, 첫눈, 설렘",간식/디저트,[AI 증강]
매운맛 도전 챌린지,세븐일레븐,마라탕면,"쿨피스, 삼각김밥","매운맛, 도전, 스트레스 해소, 땀, 중독, 얼얼함, 유튜브, 챌린지",라면/분식 조합,[AI 증강]
여행 출발 전 설렘,CU,소시지,"탄산음료, 감자칩","여행, 설렘, 기차, 버스, 간식, 휴게소, 친구, 가족, 추억 만들기",간식/에너지,[AI 증강]
피크닉 필수템,공통,유부초밥,"과일, 주스","피크닉, 봄, 나들이, 도시락, 소풍, 햇살, 공원, 돗자리, 힐링",간편 식사,[AI 증강]
숙취 해소 어벤져스,GS25,헛개차,"해장라면, 계란","숙취, 다음날, 괴로움, 해장, 속쓰림, 진정, 출근, 회식, 다시 시작",간편 식사,[AI 증강]
심야 데이트 로맨틱 콤보,세븐일레븐,와인,"치즈, 크래커","심야, 데이트, 로맨틱, 분위기, 밤, 사랑, 와인, 속삭임, 별",술안주/야식,[AI 증강]
퇴근 후 맥주 한 잔,CU,맥주 (캔),"닭꼬치, 땅콩","퇴근, 맥주, 혼술, 위로, 하루, 마무리, 시원함, 편안함, 드라마",술안주/야식,[AI 증강]
고독한 미식가,공통,도시락,"미소장국, 김치","혼밥, 점심, 저녁, 식사, 맛, 음미, 여유, 고독, 미식",간편 식사,[AI 증강]
달콤한 휴식 시간,GS25,아이스크림,"커피, 쿠키","휴식, 달콤함, 당 충전, 오후, 에너지, 기분 전환, 행복, 충전, 재시작",간식/디저트,[AI 증강]
혼자 떠나는 바다,세븐일레븐,새우깡,"콜라, 오징어","바다, 혼자, 여행, 자유, 갈매기, 파도, 추억, 힐링, 석양",간식/에너지,[AI 증강]
비오는 날의 따뜻함,CU,컵라면,"삼각김밥, 단무지","비, 따뜻함, 컵라면, 국물, 촉촉함, 집, 휴식, 영화, 편안함",라면/분식 조합,[AI 증강]
수학능력평가 만점 기원,공통,엿,"초콜릿, 따뜻한 차","수능, 시험, 합격, 응원, 격려, 긴장, 선물, 행운, 긍정",간식/에너지,[AI 증강]
게임 폐인 풀세트,GS25,에너지 드링크,"나쵸, 핫바","게임, 밤샘, 에너지, 집중력, 친구, 온라인, 승리, 즐거움, 폐인",간식/에너지,[AI 증강]
심야 드라이브 필수템,세븐일레븐,커피,"껌, 초콜릿","드라이브, 밤, 새벽, 음악, 친구, 자유, 추억, 여행, 별",간식/에너지,[AI 증강]
인싸템 도전,CU,젤리,"탄산수, 아이스 컵","인싸, 트렌드, 신상, 도전, 재미, 친구, 유튜브, 챌린지, 웃음",간식/디저트,[AI 증강]
이열치열 화끈한 맛,공통,불닭볶음면,"쿨피스, 참치마요 삼각김밥","스트레스 해소, 더위, 매운맛, 땀, 도전, 중독, 화끈함, 여름, 이열치열",라면/분식 조합,[AI 증강]
초간단 아침 식사,GS25,샌드위치,"우유, 바나나","아침, 출근, 간편, 건강, 에너지, 시간 절약, 든든함, 시작, 활기",간편 식사,[AI 증강]
나만의 작은 사치,세븐일레븐,조각 케이크,"아메리카노, 마카롱","사치, 행복, 위로, 선물, 기분 전환, 휴식, 달콤함, 오후, 나를 위한",간식/디저트,[AI 증강]
출출할 때 든든하게,CU,김밥,"컵라면, 계란","간식, 출출, 든든함, 점심, 저녁, 간단, 혼밥, 바쁜, 에너지",간편 식사,[AI 증강]
축구 응원 간식,공통,치킨,"맥주, 나쵸","축구, 응원, 밤, 친구, 열정, 승리, 간식, 즐거움, 함성",술안주/야식,[AI 증강]
장마철 꿉꿉함 날려버려,GS25,탄산음료,"매운 스낵, 아이스크림","장마, 습함, 불쾌지수, 탄산, 청량함, 매운맛, 스트레스 해소, 기분 전환, 시원함",간식/에너지,[AI 증강]
심플 이즈 베스트,세븐일레븐,삶은 계란,"소금, 물","다이어트, 건강, 운동, 단백질, 심플, 간편, 아침, 저녁, 클린",간편 식사,[AI 증강]
바쁜 아침 Quick & Easy,CU,에그 토스트,"주스, 요거트","바쁜 아침, 간편식, 퀵, 쉬움, 시간 절약, 든든함, 에너지, 활기찬 시작, 아침 식사",간편 식사,[AI 증강]
나른한 오후의 졸음 깨기,공통,아메리카노,"민트 초콜릿, 견과류","졸음, 나른함, 오후, 집중력 향상, 카페인, 상쾌함, 활력, 업무, 공부",간식/에너지,[AI 증강]
혼술의 정석,GS25,수입맥주,"모듬 튀김, 마른 안주","혼술, 퇴근 후, 주말, 영화, 드라마, 위로, 휴식, 편안함, 하루 마무리",술안주/야식,[AI 증강]
입 터짐 방지 세트,세븐일레븐,제로 칼로리 음료,"곤약젤리, 닭가슴살","다이어트, 식단 관리, 입 터짐 방지, 건강, 간식, 운동, 유지어터, 저칼로리",간편 식사,[AI 증강]
스트레스 박살 내기,CU,매운 라면,"아이스크림, 탄산수","스트레스, 화, 분노, 해소, 매운맛, 땀, 시원함, 달콤함, 기분 전환",라면/분식 조합,[AI 증강]
할머니 댁 간식,공통,고구마 말랭이,"식혜, 약과","할머니, 그리움, 추억, 간식, 따뜻함, 정, 고향, 옛날, 편안함",간식/디저트,[AI 증강]
공부하다 지칠 때,GS25,비타민 음료,"젤리, 초콜릿","공부, 시험, 집중력, 피로, 졸림, 에너지, 상큼함, 달콤함, 활력",간식/에너지,[AI 증강]
나홀로 등산,세븐일레븐,물,"에너지바, 초코파이","등산, 혼자, 자연, 건강, 운동, 상쾌함, 정상, 땀, 성취감",간식/에너지,[AI 증강]
우울한 날 위로,CU,초콜릿 케이크,"따뜻한 우유, 마시멜로우","우울, 슬픔, 위로, 달콤함, 따뜻함, 휴식, 눈물, 토닥토닥, 괜찮아",간식/디저트,[AI 증강]
기차 여행 낭만,공통,삶은 달걀,"사이다, 오징어","기차, 여행, 낭만, 추억, 창밖, 풍경, 설렘, 간식, 여유",간식/에너지,[AI 증강]
자취생 간단 저녁,GS25,참치마요 덮밥,"김치, 미역국","자취, 저녁, 간단, 혼밥, 든든함, 가성비, 빠름, 요리, 귀찮음",간편 식사,[AI 증강]
퇴근길 소소한 행복,세븐일레븐,캔맥주,"쥐포, 프레첼","퇴근길, 행복, 소소, 위로, 혼술, 휴식, 드라마, 하루 마무리, 편안함",술안주/야식,[AI 증강]
혼자만의 영화관,CU,팝콘,"콜라, 핫도그","혼영, 주말, 집, 영화, 간식, 여유, 힐링, 넷플릭스, 행복",간식/디저트,[AI 증강]
늦은 밤 야식,공통,라면,"김치, 삼각김밥","야식, 밤, 배고픔, 유혹, 죄책감, 맛있음, 후회, 꿀맛, 잠 안 옴",라면/분식 조합,[AI 증강]
시험 기간 친구 응원,GS25,초콜릿,"에너지 드링크, 찹쌀떡","시험, 친구, 응원, 격려, 힘내, 합격, 행운, 간식, 우정",간식/에너지,[AI 증강]
상큼한 봄 피크닉,세븐일레븐,과일 샌드위치,"탄산수, 꽃","봄, 피크닉, 데이트, 상큼함, 햇살, 행복, 힐링, 사진, 인스타 감성",간편 식사,[AI 증강]
입맛 없을 때,CU,비빔면,"군만두, 참기름","입맛 없음, 더위, 상큼함, 매콤함, 자극, 간단, 후루룩, 식욕, 여름",라면/분식 조합,[AI 증강]
비오는 날 따뜻한 추억,공통,어묵,"떡볶이, 따뜻한 정종","비, 추억, 따뜻함, 낭만, 운치, 센치, 휴식, 센티멘탈, 그리움",라면/분식 조합,[AI 증강]
출근 전 활력 충전,GS25,핫브레이크,"커피, 견과류바","아침, 출근, 피로, 활력, 에너지, 힘, 카페인, 당충전, 긍정",간식/에너지,[AI 증강]
지친 하루 끝 위로,세븐일레븐,수면 양말,"핫팩, 허브티","피곤, 위로, 휴식, 따뜻함, 포근함, 힐링, 릴렉스, 꿀잠, 수고했어",기타,[AI 증강]
크리스마스 홈파티,CU,케이크,"와인, 샴페인","크리스마스, 홈파티, 연말, 파티, 행복, 선물, 로맨틱, 설렘, 즐거움",술안주/야식,[AI 증강]
새해 다짐 응원,공통,다이어리,"펜, 비타민","새해, 다짐, 계획, 목표, 응원, 건강, 성공, 긍정, 화이팅",기타,[AI 증강]
월급날 FLEX 세트,공통,수입 맥주 (4캔),"프리미엄 육포, 나쵸/살사 소스","월급날, 자축, 스트레스 해소, 혼술, 영화 감상, 퇴근 후 행복, 넷플릭스, 소소한 사치",술안주/야식,[AI 증강]
시험기간 밤샘 세트,GS25,에너지 드링크,"커피 (대용량), 견과류, 초콜릿","시험기간, 밤샘 공부, 집중력 향상, 잠 깨기, 카페인 충전, 벼락치기, 피로 회복, 당 충전",간식/음료 조합,[AI 증강]
비 오는 날 파전 세트,CU,부침가루/튀김가루,"막걸리, 김치, 계란","비 오는 날, 집콕, 파전, 막걸리, 넷플릭스, 우울함 달래기, 빗소리, 힐링",간편조리,[AI 증강]
혼자 떠나는 캠핑 세트,세븐일레븐,즉석밥,"참치캔, 김치, 라면 (소컵)","혼자 캠핑, 미니멀 캠핑, 간단한 식사, 자연, 힐링, 고독, 별 보기, 조용한 밤",간편식사,[AI 증강]
매운맛 폭발 세트,공통,불닭볶음면 (큰컵),"캡사이신 소스, 매운 치즈, 쿨피스","스트레스 해소, 극한의 매운맛, 도전, 땀, 화끈함, 입술 얼얼, 정신 번쩍, 매운맛 마니아",라면/분식 조합,[AI 증강]
달콤한 휴식 세트,GS25,아이스크림 (벤앤제리스),"따뜻한 아메리카노, 쿠키, 담요","휴식, 달콤함, 주말, 힐링, 여유, 나만의 시간, 소파, 따뜻함, 행복",디저트/간식 조합,[AI 증강]
야근 필수템 세트,CU,핫식스,"육개장 사발면, 삼각김밥, 박카스","야근, 피로, 졸림, 배고픔, 에너지 충전, 회사, 사무실, 늦은 밤, 퇴근 희망",간편식사,[AI 증강]
기분 전환 상큼 세트,세븐일레븐,탄산수 (레몬),"비타민C, 젤리, 껌","기분 전환, 상쾌함, 졸음 방지, 활력, 리프레시, 긍정, 미세먼지, 깨끗함",음료/간식 조합,[AI 증강]
영화관 나들이 세트,공통,팝콘 (카라멜),"콜라, 오징어, 초콜릿","영화관, 데이트, 주말, 간식, 달콤함, 짭짤함, 즐거움, 설렘, 기대",간식/음료 조합,[AI 증강]
숙취 해소 세트,GS25,헛개차,"해장라면, 스포츠 음료, 계란","숙취, 해장, 속 쓰림, 두통, 갈증, 괴로움, 술, 다음날, 후회",음료/간편식사,[AI 증강]
고독한 미식가 세트,CU,도시락 (고기 반찬),"미소 된장국, 김치, 물","혼밥, 점심, 저녁, 간단한 식사, 고독, 맛, 정갈함, 든든함, 만족",간편식사,[AI 증강]
다이어트 챌린지 세트,세븐일레븐,닭가슴살,"샐러드, 견과류, 제로 칼로리 음료","다이어트, 건강, 운동, 식단 관리, 체중 감량, 자기 관리, 샐러드, 가벼움, 상쾌함",건강/다이어트,[AI 증강]
퇴근길 맥주 한잔 세트,공통,캔맥주 (4캔),"마른 안주 (오징어, 쥐포), 땅콩","퇴근, 혼술, 하루 마무리, 스트레스 해소, 편안함, 집, TV 시청, 소소한 행복",술안주/야식,[AI 증강]
크리스마스 홈파티 세트,GS25,케이크 (조각),"와인, 치즈, 과자","크리스마스, 홈파티, 연말, 가족, 친구, 따뜻함, 행복, 선물, 분위기",간식/술안주,[AI 증강]
눈 오는 날 따뜻함 세트,CU,호빵,"핫초코, 군고구마, 귤","눈, 겨울, 따뜻함, 달콤함, 행복, 집, 창밖, 낭만, 포근함",간식/음료 조합,[AI 증강]
출근길 에너지 충전 세트,세븐일레븐,샌드위치,"커피, 바나나, 요거트","출근, 아침, 에너지, 활력, 상쾌함, 직장인, 바쁨, 지하철, 긍정",간편식사,[AI 증강]
화가 난 날 힐링 세트,공통,매운 떡볶이,"아이스크림, 초콜릿, 우유","분노, 스트레스, 매운맛, 달콤함, 위로, 힐링, 진정, 안정, 평화",분식/디저트,[AI 증강]
생일 축하 간소화 세트,GS25,미니 케이크,"샴페인 맛 탄산, 초, 성냥","생일, 축하, 간소함, 소소함, 행복, 자축, 기쁨, 감사, 특별함",디저트/음료,[AI 증강]
늦은 밤 라면 땡기는 세트,CU,신라면,"김치, 계란, 삼각김밥","야식, 늦은 밤, 배고픔, 유혹, 라면, 죄책감, 맛있음, 든든함, 후회",라면/간편식사,[AI 증강]
미세먼지 OUT 세트,세븐일레븐,생수,"비타민 음료, 마스크, 목캔디","미세먼지, 건강, 청결, 보호, 상쾌함, 기관지, 답답함, 깨끗함, 예방",건강/음료,[AI 증강]
게임 폐인 풀코스 세트,공통,에너지 드링크 (몬스터),"감자칩, 즉석 핫도그, 콜라","게임, 밤샘, 집중, 몰입, 승리, 짜릿함, 긴장, 재미, 중독",간식/음료,[AI 증강]
장마철 우울 극복 세트,GS25,달콤한 빵,"따뜻한 우유, 초콜릿, 좋아하는 영화 DVD","장마, 우울, 집콕, 달콤함, 위로, 휴식, 영화, 따뜻함, 위안",간식/음료,[AI 증강]
여행 출발 전 설렘 세트,CU,여행용 간식 (오징어땅콩),"껌, 생수, 충전기","여행, 설렘, 기대, 준비, 공항, 기차, 버스, 즐거움, 두근거림",간식/여행용품,[AI 증강]
면접 합격 기원 세트,세븐일레븐,찹쌀떡,"따뜻한 차, 초콜릿, 행운의 부적 (스티커)","면접, 합격, 긴장, 떨림, 행운, 기원, 응원, 자신감, 성공",간식/응원,[AI 증강]
고백 성공 기원 세트,공통,페레로 로쉐,"편지, 꽃 (작은 화분), 향수 (미니어처)","고백, 사랑, 설렘, 긴장, 성공, 용기, 두근거림, 핑크빛, 행운",선물/응원,[AI 증강]
이열치열 땀빼는 세트,GS25,열라면,"얼음물, 김밥, 단무지","더위, 땀, 매운맛, 이열치열, 극복, 시원함, 더위사냥, 에너지",라면/간편식사,[AI 증강]
퇴사 기념 해방 세트,CU,샴페인,"나쵸, 치즈, 올리브","퇴사, 해방, 자유, 행복, 시작, 설렘, 축하, 새로운 시작, 홀가분함",술안주/야식,[AI 증강]
갑작스런 손님맞이 세트,세븐일레븐,즉석 팝콘,"탄산음료, 과자, 컵라면","손님, 당황, 급함, 간편, 환대, 웃음, 수다, 즐거움, 편안함",간식/음료,[AI 증강]
스트레스 폭발 괴식 세트,공통,불닭볶음면,"초코 아이스크림, 김치, 커피","스트레스, 분노, 괴식, 도전, 혼돈, 파괴, 자포자기, 묘한쾌감, 후회",라면/괴식,[AI 증강]
심야 영화 감성 세트,GS25,버터 오징어,"맥주, 핫도그, 콜라","심야, 영화, 감성, 혼자, 조용함, 집중, 몰입, 여유, 힐링",술안주/간식,[AI 증강]
늦잠 잔 날 아점 세트,CU,참치마요 삼각김밥,"바나나 우유, 삶은 계란, 요거트","늦잠, 아점, 간단, 배고픔, 허겁지겁, 후다닥, 바쁨, 그래도맛있다, 든든",간편식사,[AI 증강]
친구와 함께 보드게임 세트,세븐일레븐,나쵸,"탄산 음료, 젤리, 초콜릿","친구, 보드게임, 웃음, 즐거움, 경쟁, 흥미진진, 간식, 행복, 추억",간식/음료,[AI 증강]
혼자 떠나는 기차 여행 세트,공통,소시지,"삶은 계란, 사이다, 육포","기차, 여행, 혼자, 창밖, 풍경, 낭만, 자유, 고독, 설렘",간식/여행,[AI 증강]
입맛 없을 때 콤비 세트,GS25,비빔면,"삼각김밥 (참치마요), 쿨피스, 김치","입맛 없음, 더위, 매콤, 새콤, 달콤, 간단, 후루룩, 리프레시, 든든",라면/간편식사,[AI 증강]
등산 후 꿀맛 세트,CU,막걸리,"두부김치, 삶은 계란, 오이","등산, 땀, 갈증, 시원함, 막걸리, 꿀맛, 정상, 풍경, 성취감",술안주/야식,[AI 증강]
뜻밖의 행운 로또 세트,세븐일레븐,로또,"볼펜, 새우깡, 탄산음료","행운, 기대, 설렘, 희망, 대박, 간절함, 떨림, 두근거림, 꿈",기타,[AI 증강]
갑자기 삘받은 노래방 세트,공통,목캔디,"물, 초콜릿, 에너지바","노래방, 흥, 열창, 목 관리, 에너지 충전, 스트레스 해소, 신남, 친구, 추억",기타,[AI 증강]
과제 폭탄 SOS 세트,GS25,커피 (대용량),"초콜릿, 견과류, 에너지 드링크","과제, 밤샘, 스트레스, 집중력, 카페인, 당 충전, 피로, 괴로움, 포기",간식/음료,[AI 증강]
혼자 보는 공포 영화 세트,CU,팝콘,"콜라, 담요, 초콜릿","공포, 영화, 긴장, 떨림, 혼자, 어둠, 두려움, 스릴, 소름",간식,[AI 증강]
상사 뒷담화 스트레스 해소 세트,세븐일레븐,매운 새우깡,"탄산수, 젤리, 커피","스트레스, 뒷담화, 회사, 상사, 분노, 매운맛, 해소, 공감, 위로",간식/음료,[AI 증강]
택배 기다리는 초조함 세트,공통,프링글스,"탄산 음료, 젤리, 껌","택배, 기다림, 초조, 불안, 기대, 설렘, 시간, 확인, 배송",간식,[AI 증강]
연인과 다툰 후 화해 세트,GS25,하트 모양 초콜릿,"꽃다발, 따뜻한 커피, 편지","싸움, 화해, 사랑, 미안함, 용서, 애정, 달콤함, 행복, 관계 회복",선물/음료,[AI 증강]
새벽 감성 폭발 세트,CU,별사탕,"따뜻한 우유, 이어폰, 감성적인 책","새벽, 감성, 고독, 생각, 추억, 밤하늘, 힐링, 위로, 조용함",간식/기타,[AI 증강]
소나기 피하기 세트,세븐일레븐,우산,"따뜻한 음료, 수건, 핫팩","소나기, 비, 당황, 추위, 따뜻함, 안전, 대비, 기다림, 잠시 멈춤",기타,[AI 증강]
엘리베이터 갇힘 공포 세트,공통,물,"사탕, 휴대폰 보조 배터리, 손수건","엘리베이터, 갇힘, 공포, 불안, 초조, 기다림, 구조, 안전, 침착함",기타,[AI 증강]
지갑 잃어버린 날 좌절 세트,GS25,가장 싼 빵,"물, 씁쓸한 커피, 슬픔","지갑 분실, 좌절, 슬픔, 절망, 허탈, 씁쓸함, 배고픔, 외로움, 눈물",간편식사,[AI 증강]
소화 불량 더부룩 세트,CU,탄산수,"소화제, 매실음료, 죽","소화불량, 더부룩, 불편함, 답답함, 소화, 안정, 건강, 회복, 편안함",건강/음료,[AI 증강]
아무것도 하기 싫은 날 무기력 세트,세븐일레븐,젤리,"따뜻한 우유, 담요, 좋아하는 음악","무기력, 우울, 아무것도 하기 싫음, 위로, 휴식, 편안함, 달콤함, 힐링, 늘어짐",간식/기타,[AI 증강]
